time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa),rain (mm),cloudcover (%),windspeed_10m (km/h),winddirection_10m (°),soil_temperature_7_to_28cm (°C),soil_moisture_7_to_28cm (m³/m³)
1581868800,21.4,31,3.4,922.4,0,0,13.7,93,27.1,0.282
1581872400,20.3,37,5.2,922.6,0,0,14.1,94,26.9,0.282
1581876000,19.2,46,7.4,922.2,0,2,14.1,96,26.7,0.282
1581879600,18.4,56,9.5,921.9,0,3,13,93,26.5,0.282
1581883200,17.5,65,10.7,920.8,0,0,11.9,92,26.3,0.282
1581886800,16.7,71,11.5,920.4,0,0,10.8,90,26,0.282
1581890400,16,77,12,919.8,0,0,10.8,92,25.8,0.282
1581894000,15.4,81,12.1,920.1,0,0,9.7,88,25.5,0.282
1581897600,14.9,83,12,920.4,0,0,9,85,25.2,0.282
1581901200,14.4,83,11.6,921.5,0,0,8.6,88,24.9,0.282
1581904800,14.9,77,11,922.8,0,1,10.8,92,24.7,0.282
1581908400,18.6,50,8.1,923.8,0,1,10.1,96,24.5,0.282
1581912000,22.3,30,3.8,924.3,0,0,10.5,96,24.5,0.282
1581915600,25.3,19,-0.3,924.9,0,0,11.2,90,24.6,0.282
1581919200,27.3,14,-2.4,925,0,0,10.9,81,24.8,0.282
1581922800,28.5,14,-1.3,924,0,0,10.5,74,25.1,0.282
1581926400,29.4,13,-1.6,923.2,0,0,10.6,72,25.5,0.282
1581930000,30,13,-1.7,922.3,0,0,10.7,70,25.9,0.282
1581933600,30,13,-1.5,921.1,0,0,9.2,69,26.2,0.282
1581937200,29.6,13,-1.3,921.2,0,0,9.7,68,26.5,0.282
1581940800,28.4,16,0.2,921.2,0,0,7.2,72,26.7,0.282
1581944400,25.8,20,1.4,921.1,0,0,9.3,77,26.8,0.282
1581948000,23.4,24,1.8,921.1,0,0,8.9,76,26.8,0.282
1581951600,21.8,28,2.7,921.8,0,0,10,77,26.7,0.282
1581955200,20.6,34,4.1,922.3,0,0,11.3,81,26.6,0.282
1581958800,19.6,40,5.6,922.7,0,0,12.3,85,26.4,0.282
1581962400,18.7,47,7.1,922.3,0,0,12.6,85,26.2,0.282
1581966000,17.9,53,8.2,922,0,0,12.2,88,26,0.282
1581969600,17.1,59,9.1,921.3,0,0,11.5,90,25.8,0.282
1581973200,16.4,64,9.6,920.8,0,0,10.8,94,25.5,0.282
1581976800,15.9,68,10,920.2,0,0,10.6,100,25.3,0.282
1581980400,15.4,71,10.1,920.1,0,0,9.6,103,25,0.282
1581984000,15,72,10.1,920.6,0,0,8.6,105,24.7,0.282
1581987600,14.6,74,10,921.1,0,0,7.3,101,24.5,0.282
1581991200,15.1,73,10.3,922.2,0,0,9.8,98,24.2,0.282
1581994800,19.3,51,9,923.3,0,0,9.3,103,24.1,0.282
1581998400,22.4,38,7.4,923.2,0,3,11.2,94,24.1,0.282
1582002000,24.8,30,6.1,923.8,0,5,13.5,81,24.2,0.282
1582005600,26.7,25,4.9,924.3,0,9,14.8,76,24.5,0.282
1582009200,28.3,25,6.5,923.2,0,13,14.8,76,24.8,0.282
1582012800,29.3,23,6.1,922.7,0,20,14.1,77,25.1,0.282
1582016400,29.8,22,5.9,921.6,0,18,13.1,81,25.5,0.282
1582020000,29.8,22,5.7,920.5,0,20,11.9,87,25.9,0.282
1582023600,29.4,22,5.6,920.5,0,20,11.5,90,26.2,0.282
1582027200,28.4,24,6,920.7,0,10,9.1,97,26.4,0.282
1582030800,26,29,6.6,921,0,4,8.5,102,26.5,0.282
1582034400,23.9,33,6.8,921.4,0,6,8.9,104,26.5,0.282
1582038000,22.5,38,7.4,922.1,0,14,10.6,108,26.4,0.282
1582041600,21.3,44,8.5,922.6,0,14,11.8,110,26.3,0.282
1582045200,20.3,51,9.9,922.9,0,17,12.3,111,26.2,0.282
1582048800,19.4,60,11.3,922.4,0,25,12.6,110,26,0.282
1582052400,18.8,68,12.7,922.1,0,20,12.2,109,25.8,0.282
1582056000,18,75,13.5,920.9,0,5,11.3,107,25.6,0.282
1582059600,17.4,81,14,920.4,0,4,10,105,25.4,0.282
1582063200,16.7,86,14.3,919.7,0,4,9.3,106,25.2,0.282
1582066800,16.2,90,14.5,919.9,0,10,8.2,105,25,0.282
1582070400,15.7,93,14.6,920.3,0,11,7.8,103,24.7,0.282
1582074000,15.4,94,14.4,921.1,0,15,7.8,103,24.5,0.282
1582077600,15.9,92,14.6,922.1,0,24,9.6,103,24.3,0.282
1582081200,19.5,71,14.1,923,0,27,9.2,111,24.2,0.282
1582084800,22.7,51,12.2,923,0,29,10.5,112,24.2,0.282
1582088400,25.3,40,10.6,923.6,0,28,10.2,100,24.3,0.282
1582092000,27.2,33,9.8,923.8,0,29,10.5,82,24.6,0.282
1582095600,28.4,30,9.1,922.6,0,28,10.8,75,24.9,0.282
1582099200,29.4,27,8.2,921.7,0,29,10.9,73,25.3,0.282
1582102800,29.9,25,7.5,920.6,0,25,10.5,74,25.7,0.282
1582106400,30,24,7.1,919.8,0,15,9.7,75,26.1,0.282
1582110000,29.7,24,6.8,919.6,0,12,9.5,79,26.4,0.282
1582113600,28.7,25,7,920,0,7,8.6,88,26.6,0.282
1582117200,26.3,30,7.5,920.2,0,1,8.4,97,26.7,0.282
1582120800,24.3,34,7.6,920.7,0,3,10.6,100,26.7,0.282
1582124400,22.9,39,8.2,921.3,0,4,13.3,103,26.6,0.282
1582128000,21.6,46,9.5,921.8,0,1,14.8,104,26.5,0.282
1582131600,20.5,54,10.9,921.9,0,1,15.5,103,26.4,0.282
1582135200,19.3,62,12,921.4,0,2,15.5,102,26.2,0.282
1582138800,18.5,70,12.9,921.1,0,0,14.7,101,26.1,0.282
1582142400,17.7,76,13.4,920.3,0,0,13.6,102,25.9,0.282
1582146000,16.9,81,13.7,919.9,0,0,12.6,103,25.6,0.282
1582149600,16.2,86,13.9,919.2,0,0,11.6,106,25.4,0.282
1582153200,15.5,90,13.9,919.3,0,0,10.4,104,25.1,0.282
